iter	Passed	Remaining
795	3081	789
796	3084	785
797	3086	781
798	3089	777
799	3092	773
800	3096	769
801	3098	764
802	3100	760
803	3103	756
804	3105	752
805	3108	748
806	3110	743
807	3113	739
808	3115	735
809	3118	731
810	3121	727
811	3123	723
812	3127	719
813	3131	715
814	3133	711
815	3136	707
816	3139	703
817	3141	698
818	3143	694
819	3145	690
820	3149	686
821	3152	682
822	3154	678
823	3157	674
824	3160	670
825	3162	666
826	3164	662
827	3167	657
828	3169	653
829	3171	649
830	3174	645
831	3176	641
832	3178	637
833	3182	633
834	3184	629
835	3187	625
836	3190	621
837	3193	617
838	3195	613
839	3197	609
840	3200	605
841	3202	600
842	3205	596
843	3207	592
844	3209	588
845	3213	585
846	3216	580
847	3219	577
848	3222	573
849	3225	569
850	3227	565
851	3229	560
852	3231	556
853	3233	552
854	3235	548
855	3238	544
856	3240	540
857	3243	536
858	3245	532
859	3249	528
860	3251	524
861	3254	521
862	3257	517
863	3259	513
864	3261	509
865	3263	504
866	3265	500
867	3267	496
868	3269	492
869	3271	488
870	3274	485
871	3277	481
872	3279	477
873	3281	473
874	3284	469
875	3286	465
876	3288	461
877	3290	457
878	3292	453
879	3295	449
880	3297	445
881	3302	441
882	3304	437
883	3307	434
884	3309	430
885	3312	426
886	3314	422
887	3316	418
888	3318	414
889	3321	410
890	3323	406
891	3325	402
892	3327	398
893	3328	394
894	3330	390
895	3332	386
896	3334	382
897	3337	379
898	3339	375
899	3342	371
900	3344	367
901	3346	363
902	3348	359
903	3351	355
904	3352	351
905	3355	348
906	3357	344
907	3359	340
908	3361	336
909	3363	332
910	3365	328
911	3367	324
912	3370	321
913	3372	317
914	3375	313
915	3377	309
916	3379	305
917	3382	302
918	3384	298
919	3386	294
920	3388	290
921	3390	286
922	3395	283
923	3397	279
924	3400	275
925	3402	271
926	3405	268
927	3407	264
928	3409	260
929	3411	256
930	3413	253
931	3415	249
932	3417	245
933	3420	241
934	3421	237
935	3424	234
936	3426	230
937	3428	226
938	3432	222
939	3434	219
940	3436	215
941	3438	211
942	3441	207
943	3443	204
944	3445	200
945	3448	196
946	3450	193
947	3452	189
948	3455	185
949	3457	181
950	3459	178
951	3463	174
952	3465	170
953	3468	167
954	3470	163
955	3473	159
956	3475	156
957	3477	152
958	3482	148
959	3484	145
960	3488	141
961	3492	137
962	3496	134
963	3500	130
964	3503	127
965	3507	123
966	3510	119
967	3515	116
968	3519	112
969	3522	108
970	3526	105
971	3529	101
972	3532	98
973	3534	94
974	3538	90
975	3540	87
976	3544	83
977	3546	79
978	3548	76
979	3553	72
980	3557	68
981	3560	65
982	3564	61
983	3567	58
984	3570	54
985	3572	50
986	3577	47
987	3580	43
988	3585	39
989	3589	36
990	3592	32
991	3596	29
992	3598	25
993	3600	21
994	3603	18
995	3605	14
996	3609	10
997	3611	7
998	3616	3
999	3619	0
